Estable,Prov_ubi,Cant_ubi,Parr_ubi,Clase,Tipo,Entidad,Sector,Farm,,,idCanton,idParroquia,,,idCanton,idParroquia
399,5,501,50150,21,4,1,1,0,,,01,50,,01,1,50
400,5,503,50352,21,4,1,1,0,,,03,52,,03,3,52
401,5,504,50450,21,4,1,1,0,,,04,50,,04,4,50
402,5,504,50456,20,4,1,1,0,,,04,56,,04,4,56
403,5,504,50453,21,4,1,1,0,,,04,53,,04,4,53
404,5,504,50450,21,4,1,1,0,,,04,50,,04,4,50
405,5,506,50651,21,4,1,1,0,,,06,51,,06,6,51
406,5,501,50150,25,4,11,1,1,,,01,50,,01,1,50
407,5,501,50150,25,4,2,1,0,,,01,50,,01,1,50
409,5,501,50150,25,4,3,1,0,,,01,50,,01,1,50
410,5,501,50150,25,4,2,1,0,,,01,50,,01,1,50
412,5,501,50104,12,3,17,3,1,,,01,04,,01,1,4
413,5,501,50150,25,4,17,3,0,,,01,50,,01,1,50
417,5,501,50161,25,4,7,1,0,,,01,61,,01,1,61
418,5,501,50150,25,4,7,1,0,,,01,50,,01,1,50
419,5,501,50161,25,4,7,1,0,,,01,61,,01,1,61
420,6,601,60101,12,3,18,2,0,,,01,01,,01,1,1
421,6,601,60104,2,1,1,1,1,,,01,04,,01,1,4
422,6,601,60101,2,1,6,1,1,,,01,01,,01,1,1
423,6,601,60103,5,1,1,1,1,,,01,03,,01,1,3
425,6,601,60103,2,1,3,1,1,,,01,03,,01,1,3
426,6,602,60250,1,5,1,1,1,,,02,50,,02,2,50
427,6,603,60350,1,5,1,1,1,,,03,50,,03,3,50
428,6,605,60550,1,5,1,1,1,,,05,50,,05,5,50
429,6,606,60650,1,5,1,1,1,,,06,50,,06,6,50
432,6,601,60101,12,3,18,2,,,,01,01,,01,1,1
434,6,601,60101,11,1,18,2,1,,,01,01,,01,1,1
438,6,601,60150,22,4,1,1,1,,,01,50,,01,1,50
439,6,604,60450,21,4,1,1,1,,,04,50,,04,4,50
440,6,601,60156,21,4,1,1,0,,,01,56,,01,1,56
441,6,601,60154,21,4,1,1,0,,,01,54,,01,1,54
442,6,601,60158,21,4,1,1,0,,,01,58,,01,1,58
443,6,601,60161,21,4,1,1,0,,,01,61,,01,1,61
444,6,601,60159,21,4,1,1,0,,,01,59,,01,1,59
445,6,601,60160,21,4,1,1,0,,,01,60,,01,1,60
446,6,601,60150,21,4,1,1,0,,,01,50,,01,1,50
447,6,601,60150,21,4,1,1,0,,,01,50,,01,1,50
449,6,601,60150,21,4,1,1,0,,,01,50,,01,1,50
450,6,601,60150,21,4,1,1,0,,,01,50,,01,1,50
451,6,601,60150,21,4,1,1,0,,,01,50,,01,1,50
452,6,601,60152,21,4,1,1,0,,,01,52,,01,1,52
453,6,601,60157,21,4,1,1,0,,,01,57,,01,1,57
454,6,604,60450,20,4,1,1,0,,,04,50,,04,4,50
456,6,601,60161,20,4,1,1,0,,,01,61,,01,1,61
457,6,601,60153,20,4,1,1,0,,,01,53,,01,1,53
458,6,602,60260,21,4,1,1,0,,,02,60,,02,2,60
459,6,602,60259,21,4,1,1,0,,,02,59,,02,2,59
460,6,602,60251,21,4,1,1,0,,,02,51,,02,2,51
461,6,602,60254,21,4,1,1,0,,,02,54,,02,2,54
462,6,610,61050,21,4,1,1,0,,,10,50,,10,10,50
463,6,602,60253,21,4,1,1,0,,,02,53,,02,2,53
464,6,607,60750,22,4,1,1,1,,,07,50,,07,7,50
465,6,609,60950,21,4,1,1,1,,,09,50,,09,9,50
466,6,607,60754,21,4,1,1,1,,,07,54,,07,7,54
467,6,607,60756,21,4,1,1,0,,,07,56,,07,7,56
468,6,607,60750,21,4,1,1,0,,,07,50,,07,7,50
469,6,607,60750,21,4,1,1,0,,,07,50,,07,7,50
470,6,609,60952,21,4,1,1,0,,,09,52,,09,9,52
471,6,609,60950,20,4,1,1,0,,,09,50,,09,9,50
472,6,607,60754,20,4,1,1,0,,,07,54,,07,7,54
473,6,607,60754,20,4,1,1,0,,,07,54,,07,7,54
474,6,607,60756,21,4,1,1,0,,,07,56,,07,7,56
475,6,609,60950,21,4,1,1,0,,,09,50,,09,9,50
478,6,603,60352,21,4,1,1,0,,,03,52,,03,3,52
479,6,603,60352,21,4,1,1,0,,,03,52,,03,3,52
480,6,603,60353,21,4,1,1,0,,,03,53,,03,3,53
481,6,608,60850,21,4,1,1,0,,,08,50,,08,8,50
482,6,606,60652,21,4,1,1,0,,,06,52,,06,6,52
483,6,606,60651,21,4,1,1,0,,,06,51,,06,6,51
484,6,605,60551,21,4,1,1,0,,,05,51,,05,5,51
485,6,605,60553,21,4,1,1,0,,,05,53,,05,5,53
486,6,607,60752,21,4,1,1,0,,,07,52,,07,7,52
487,6,607,60755,21,4,1,1,0,,,07,55,,07,7,55
488,6,601,60151,21,4,1,1,0,,,01,51,,01,1,51
490,6,601,60158,20,4,1,1,0,,,01,58,,01,1,58
491,6,610,61050,21,4,1,1,0,,,10,50,,10,10,50
492,6,602,60255,21,4,1,1,0,,,02,55,,02,2,55
493,6,603,60352,21,4,1,1,0,,,03,52,,03,3,52
495,6,605,60552,21,4,1,1,0,,,05,52,,05,5,52
496,6,605,60554,21,4,1,1,0,,,05,54,,05,5,54
498,6,606,60650,20,4,1,1,0,,,06,50,,06,6,50
499,6,603,60354,21,4,1,1,0,,,03,54,,03,3,54
500,6,603,60350,21,4,1,1,0,,,03,50,,03,3,50
501,6,605,60554,21,4,1,1,0,,,05,54,,05,5,54
502,6,603,60352,20,4,1,1,0,,,03,52,,03,3,52
