80157,Lagarto,801
80158,La Unión,801
80159,Majua,801
80160,Montalvo (Cab. en Horqueta),801
80161,Río Verde,801
80162,Rocafuerte,801
80163,San Mateo,801
80164,Súa (Cab. en La Bocana),801
80165,Tabiazo,801
80166,Tachina,801
80167,Tonchigüe,801
80168,Vuelta Larga,801
80199,Sin Especificar,801
80250,Valdez (Limones) Cabecera Cantonal,802
80251,Anchayacu,802
80252,Atahualpa (Cab. en Camarones),802
80253,Borbon,802
80254,La Tola,802
80255,Luis Vargas Torres (Cab. en Playa de Oro),802
80256,Maldonado,802
80257,Pampanal de Bolívar,802
80258,San Francisco de Onzole,802
80259,Santo Domingo de Onzole,802
80260,Selva Alegre,802
80261,Telembi,802
80262,Colón Eloy del María,802
80263,San José de Cayapas,802
80264,Timbire,802
80265,Santa Lucia de las Peñas,802
80299,Sin Especificar,802
80350,Muisne Cabecera Cantonal,803
80351,Bolívar,803
80352,Daule,803
80353,Galera,803
80354,Quingue (Olmedo Perdomo Franco),803
80355,Salima,803
80356,San Francisco,803
80357,San Gregorio,803
80358,San José de Chamanga (Cab. en Chamanga),803
80399,Sin Especificar,803
80450,Rosa Zárate (Quinindé) Cabecera Cantonal,804
80451,Cube,804
80452,Chura (Chancama) (Cab. en El Yerbero),804
80453,Malimpia,804
80454,Viche,804
80455,La Unión,804
80499,Sin Especificar,804
80550,San Lorenzo Cabecera Cantonal,805
80551,Alto Tambo (Cab. en Guadual),805
80552,Ancón (Pichangal) (Cab. en Palma Real),805
80553,Calderón,805
80554,Carondelet,805
80555,5 de Junio (Cab. en Uimbi),805
80556,Concepción,805
80557,Mataje (Cab. en Santander),805
80558,San Javier de Cachaví (Cab. en San Javier),805
80559,Santa Rita,805
80560,Tambillo,805
80561,Tululbí (Cab. en Ricaurte),805
80562,Urbina,805
80599,Sin Especificar,805
80650,Atacames Cabecera Cantonal,806
80651,La Unión,806
80652,Súa  (Cab. en La Bocana),806
80653,Tonchigue,806
80654,Tonsupa,806
80699,Sin Especificar,806
80750,Rioverde Cabecera Cantonal,807
80751,Chontaduro,807
80752,Chumundé,807
80753,Lagarto,807
80754,Montalvo (Cab. en Horqueta),807
